分类级别,排名,表单名称,表单描述,延迟时间,延迟场景,可交易性,交易提示,本地解析方案,解析难度及说明,付费方案及价格
"S级 (财报核心)","1","8-K Item 2.02","业绩预告/正式财报发布","盘前/盘后即时","发布当日","极高","最大单日波动来源","HTML press release内嵌","难: 格式各异，需LLM提取EPS/Revenue","Intrinio $75/mo+ — 标准化EPS/Revenue，含预期差
Zacks $249/mo — 分析师预期+实际值，surprise率
Polygon.io $29/mo+ — 财报日历+基础EPS结构化"
"S级 (财报核心)","2","10-Q","季度财务报告","40天(大型)/45天","季末后SEC截止日","极高","深度财务因子来源","iXBRL (Inline XBRL)","中: arelle/py-xbrl解析，tag覆盖率~90%","Sharadar/Nasdaq Data Link $69/mo — 标准化200+财务指标，推荐首选
Intrinio $75/mo+ — 含计算指标，API友好
Simfin $10/mo — 性价比高，覆盖美股主流标的"
"S级 (财报核心)","3","10-K","年度财务报告","60天(大型)/90天","财年末后","高","年度基准因子，MD&A文本信号","iXBRL + 长篇HTML文本","中难: XBRL同10-Q；MD&A需NLP","Sharadar — 同10-Q，年度数据更完整
Intrinio — 含10-K全文搜索API
FinancialModelingPrep $19/mo — 含MD&A文本提取端点"
"A级 (高频事件)","4","Form 4","内部人交易申报","2 交易日","交易发生后","极高","知情人买卖，最强持续alpha","EDGAR XML (ownership.xsd)","易: lxml直解，字段固定","Polygon.io $29/mo+ — 结构化JSON，含交易类型/均价
Unusual Whales $50/mo — 实时推送+情绪标签
Quiver Quant $25/mo — 含买卖信号整合"
"A级 (高频事件)","5","8-K Item 1.01","重大协议签署","4 交易日","签署后","高","并购/战略合作先兆","HTML文本，非结构化","难: 需LLM提取协议方/金额/条款","Intrinio — 8-K事件分类API，item号过滤
Benzinga Pro $99/mo — 实时M&A事件流"
"A级 (高频事件)","6","8-K Item 2.01","资产收购/出售完成","4 交易日","交割完成后","高","并购完成，股价重新定价","HTML，item标题定位","中: BeautifulSoup定位+金额提取","Intrinio — M&A事件分类+金额字段
Benzinga Pro — 并购完成事件推送"
"A级 (高频事件)","7","8-K Item 4.02","财务报表不可依赖","4 交易日","重述发现后","高","财务重述，强负面信号","HTML，item编号检测","中: BeautifulSoup定位item 4.02","Intrinio — 8-K item分类，重述类型字段
Benzinga Pro — 含重述标注的事件流"
"A级 (高频事件)","8","8-K Item 4.01","审计师变更","4 交易日","变更后","高","非自愿变更=治理红旗","HTML文本","中: 需区分主动/被动变更","Intrinio — 含变更原因结构化字段
Benzinga Pro — 实时事件推送"
"A级 (高频事件)","9","13D / 13G","大股东/激进投资者>5%","10天(13D) / 45天(13G)","穿越5%后","极高","激进投资者入场，强催化剂","非结构化HTML文本","难: 需regex+NLP提取持仓量/意图","Intrinio $75/mo+ — 结构化JSON，含持仓diff
Quiver Quant $25/mo — 激进投资者专项汇总"
"B级 (中期因子)","10","DEF 14A","年度代理声明书(股东大会)","股东大会前40天","年度提交","中高","高管薪酬/股权激励因子","HTML长文档","难: 需LLM提取薪酬表/股权计划","Intrinio — 高管薪酬结构化API
Equilar 企业价 — 薪酬基准专项，贵但精准"
"B级 (中期因子)","11","Form 13F","机构季度持仓(>$100M)","45天","季末后","中高","聪明钱跟踪，拥挤度因子","XML (infotable格式)","易中: lxml解析，字段固定","WhaleWisdom $40/mo — 13F专项，含持仓变化/集中度
Quiver Quant $25/mo — 机构diff汇总
Intrinio — 历史深度好，支持批量"
"B级 (中期因子)","12","8-K Item 5.02","高管/董事变更","4 交易日","变更后","中","CEO离职冲击大，其他适中","HTML文本","中: NER识别职位+离任原因","Intrinio — 高管变更事件API
Benzinga Pro — 含职位/姓名结构化字段"
"B级 (中期因子)","13","8-K Item 8.01 / 7.01","其他事件 / Reg FD披露","即时/4交易日","事件发生后","中","指引更新/业务预告频繁出现","HTML自由文本","难: 无固定结构，LLM分类必须","Benzinga Pro — NLP实时新闻流，含情绪
Intrinio — 8-K全文搜索+分类"
"B级 (中期因子)","14","NT 10-Q / NT 10-K","延迟申报通知","截止日当天","无法按时提交时","中","延迟预警，负面信号","简短XML/HTML","易: 字段极简，检测存在即可","EDGAR免费RSS即可 — NT表单简单，自监控成本低"
"B级 (中期因子)","15","Form 144","限制性股票出售申报","同日/提前","出售前/同时申报","中","内部人卖出意图，辅助Form 4","XML结构化","易: 字段固定，lxml直解","Polygon.io — 含144数据，与Form 4联动
Intrinio — 限制性出售API"
"B级 (中期因子)","16","SC TO / SC 13E-3","要约收购 / 私有化要约","要约公告日","开始要约前提交","中高","套利机会，溢价收购","HTML文档","中: 提取要约价/截止日/条件","Intrinio — M&A事件，含要约价字段
Benzinga Pro — 要约公告实时推送"
"B级 (中期因子)","17","Form S-1 / 424B4","IPO招股书 / 终版定价","424B4在定价当日","S-1在上市前数周","中","IPO定价/锁定期/承销折价","长篇HTML文档","难: 需NLP提取风险/财务/锁定期","Intrinio — IPO数据API，含定价/承销商
IPOScoop $9.99/mo — IPO专项，含评级和表现历史"
"B级 (中期因子)","18","Form 3 / 5","内部人初始持仓 / 年度修订","10天(Form3)/45天(Form5)","首次任职后/年度补报","低中","建仓基线，配合Form 4使用","EDGAR XML (ownership.xsd)","易: 与Form 4同schema","Polygon.io — 与Form 4同接口，自动覆盖"
"C级 (低频辅助)","19","Form N-PORT","共同基金月度持仓","60天","月末后对外公开","低中","资金流向参考，延迟大","XML (复杂嵌套schema)","中难: schema深，需对照xsd文档","Quiver Quant — 基金持仓汇总API
Intrinio — N-PORT结构化历史"
"C级 (低频辅助)","20","Form ADV","投资顾问注册信息","年度 + 重大变更30天","年度提交","低","AUM规模变化有参考价值","SEC IAPD官方JSON API","易: 直接调官方免费接口","IAPD官方API 免费 — 无需付费方案"
"C级 (低频辅助)","21","Form 6-K / 20-F","外国私人发行人半年报/年报","6-K随时 / 20-F年度","ADS/ADR持仓需关注","低中","ADR交易标的适用","HTML/iXBRL混合","中难: XBRL覆盖率低于美国本土","Intrinio — 含外国发行人财务标准化
FinancialModelingPrep $19/mo — ADR财务指标覆盖较好"
"C级 (低频辅助)","22","Form D","私募股权发行","15天","首次出售后","低","私募流动性差，仅参考","XML结构化，字段简单","易: EDGAR免费自解析即可","EDGAR免费API足够"
"C级 (低频辅助)","23","N-CEN / N-PX","基金年度普查 / 投票记录","75天 / 8月31日","年度","极低","ESG/运营指标，无直接alpha","XML / 非结构化HTML","难: N-PX格式混乱，成本高","无实用付费方案，不建议纳入系统"
"C级 (低频辅助)","24","Form C / 1-A/1-K/1-Z","众筹 / Reg A小型发行","发行前/年度","小公司豁免注册","极低","极小市值，流动性差","XML/HTML混合，格式各异","难: 非标准化，不建议","无必要，不建议纳入系统"